x(mm);doble 1;doble 2;doble 3;doble 4;doble 5;doble 6;izquierda 1;izquierda 2;izquierda 3;izquierda 4;izquierda 5;izquierda 6;derecha 1;derecha 2;derecha 3;derecha 4;derecha 5;derecha 6
2.68;26;24;26;22;22;34;100;104;104;78;90;88;94;84;82;78;60;92
2.69;32;34;34;28;34;38;92;110;102;106;98;82;88;86;82;82;88;88
2.70;44;56;46;32;46;32;106;78;84;110;110;102;62;74;74;88;80;82
2.71;56;62;46;62;62;54;84;94;106;78;94;104;82;72;80;94;94;62
2.72;52;58;60;54;68;62;94;92;114;94;116;118;90;86;90;80;78;68
2.73;56;64;70;70;100;90;100;98;90;102;96;92;88;88;100;70;74;80
2.74;102;98;98;110;78;86;90;98;74;114;90;90;74;80;84;80;68;64
2.75;108;114;106;108;106;112;110;116;106;86;94;102;74;70;86;92;80;86
2.76;116;130;130;130;136;100;106;118;106;116;100;108;84;84;84;70;82;72
2.77;132;148;124;142;148;140;96;104;118;86;110;96;88;78;90;110;84;78
2.78;148;140;156;150;154;138;102;76;104;96;108;96;64;100;104;82;92;84
2.79;160;160;158;136;156;182;104;108;100;80;90;96;94;66;100;70;66;78
2.80;182;192;188;180;172;190;74;82;110;106;106;88;82;78;80;90;68;84
2.81;186;188;210;174;176;204;108;78;96;98;118;84;70;76;92;92;86;68
2.82;192;218;206;202;200;178;100;108;92;104;92;100;98;110;84;98;100;102
2.83;244;230;228;218;206;242;70;100;102;88;84;116;102;96;78;102;92;86
2.84;220;218;260;240;218;246;108;72;86;88;98;110;98;84;92;92;84;112
2.85;272;266;218;254;238;250;78;106;74;102;98;94;88;86;96;88;84;78
2.86;282;280;270;290;276;258;108;98;92;100;120;90;76;86;94;86;78;84
2.87;292;276;244;282;288;260;94;74;96;110;96;116;86;94;90;84;94;70
2.88;316;254;304;276;310;308;94;94;106;118;100;94;94;96;94;92;110;68
2.89;262;262;316;308;326;324;102;118;96;88;100;106;88;86;102;94;92;82
2.90;332;282;274;280;310;348;86;90;106;84;72;90;74;88;88;92;94;100
2.91;312;310;318;318;324;282;112;110;98;102;92;98;96;100;96;72;82;86
2.92;364;342;342;358;340;334;100;76;98;72;106;98;88;66;114;102;78;76
2.93;386;358;360;360;366;348;94;110;100;84;106;106;102;92;84;100;108;114
2.94;336;374;348;342;370;394;96;98;100;114;96;98;100;100;88;114;88;88
2.95;390;328;340;348;336;382;98;120;90;90;102;116;84;90;86;74;98;86
